ΚΩΔΙΚΟΣ,ΕΙΔΙΚΟΤΗΤΑ,ΤΥΠΟΣ
ΠΕ01,ΘΕΟΛΟΓΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ02,ΦΙΛΟΛΟΓΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ02.50,ΦΙΛΟΛΟΓΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ03,ΜΑΘΗΜΑΤΙΚΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ03.50,ΜΑΘΗΜΑΤΙΚΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.01,ΦΥΣΙΚΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.02,ΧΗΜΙΚΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.03,ΦΥΣΙΟΓΝΩΣΤΕΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.04,ΒΙΟΛΟΓΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.05,ΓΕΩΛΟΓΟΙ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ04.50,ΠΕ04 ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ05,ΓΑΛΛΙΚΗΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
ΠΕ06,ΑΓΓΛΙΚΗΣ,ΠΑΝΕΠΙΣΤΗΜΙΑΚΗΣ
